,,,Apr-14,,,,,,,,,,,,,,Apr-14,,,,,,,,,,,,,,Apr-14,,,,,,,,,,,
372,"ROXAS, ISABELA",2,0,0.4,0,0.4,0,0,0,14.4,139,0.2,154.4,372,"ROXAS, ISABELA",2,1,0,0,0,0,0,0,0,0,4.6,5.6,372,"ROXAS, ISABELA",2,0,0,0,0,0,0,0,0,36.4,0,36.4,196.4
890,"ESPERANZA, AGUSAN DEL SUR",13,0,0,1,1.4,0,0,0.6,2.8,0.4,46.4,52.6,890,"ESPERANZA, AGUSAN DEL SUR",13,0.2,0,4.6,20.6,0,0,0,0,0,0,25.4,890,"ESPERANZA, AGUSAN DEL SUR",13,14.6,0,1,0,0,0,0,9.4,0,0,25,103
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,0,0,0,0,0,0,0,0,0,0,0,327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,0,0,0,0,0,0,0,0,0,0,0,327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,0,0,0,0,0,0.2,0,2,0,0,2.2,2.2
917,"CALINOG, ILOILO",6,0,0,0,0,0,0,0,0,0,2.4,2.4,917,"CALINOG, ILOILO",6,0,11.2,0,117.6,106.2,0,0,5.4,0,0,240.4,917,"CALINOG, ILOILO",6,0,0,1.6,0.2,0,0,0,0,0,2.8,4.6,247.4
1128,"ALCANTARA, ROMBLON",4-B,0,0,2,0,0,0,0.2,5,0.2,0,7.4,1128,"ALCANTARA, ROMBLON",4-B,0,0,0,6.2,4,0.2,0,0,0,0,10.4,1128,"ALCANTARA, ROMBLON",4-B,1,0,0,0,6,0.2,0,0.2,0.2,0,7.6,25.4
503,"AGLIPAY, QUIRINO",2,0,0,0,0,1.4,0,0,0,1.4,0,2.8,503,"AGLIPAY, QUIRINO",2,0.2,0,0,0,0,0,0,0,0,0,0.2,503,"AGLIPAY, QUIRINO",2,0,0,0,0,0,0,0,0,12.2,0,12.2,15.2
1324,"VILLAREAL, SAMAR",8,,,,,,,,,,,,1324,"VILLAREAL, SAMAR",8,,,,,,,,,,,,1324,"VILLAREAL, SAMAR",8,,,,,,,,,,,,
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,,,,,0,0,0,0.6,0,0.2,0.8,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,0,0,,99.2,24.8,1.6,0.2,0,0.2,0,126,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,0,1,43.2,0,0.6,0,0,0,0,1.4,46.2,173
626,"KIAMBA, SARANGANI",12,0,4.9,0,4.9,0,0,4.8,0,0.4,0,15,626,"KIAMBA, SARANGANI",12,0,0,0,0,0,4.8,0,5.4,0.4,0,10.6,626,"KIAMBA, SARANGANI",12,0,6,0,4.9,0,0,0,0.2,10.6,4.8,26.5,52.1
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,
351,"CARMEN, BOHOL",7,0,0,0,0,0,2.6,2.2,23,1.6,1.4,30.8,351,"CARMEN, BOHOL",7,1.8,5.2,3.6,1.2,5.2,0,,,,,17,351,"CARMEN, BOHOL",7,,,,,,,,,,,,47.8
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,0,0,0,0,0,0,0,0,0,2.8,2.8,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,0,0,0,0,1.2,0.2,0,0,0,0,1.4,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,0,0,0,0,0,0,0,0,0,0.2,0.2,4.4
328,"AYUTI, QUEZON",4-A,0,0,0,0,0,2.6,0,0,0,0,2.6,328,"AYUTI, QUEZON",4-A,0.4,0.4,1.6,0,0,1,0,0.4,0,0,3.8,328,"AYUTI, QUEZON",4-A,0,0,0,0.6,0,0,0,0,0,0,0.6,7
865,"ILAGAN, ISABELA",2,4,8,0.2,4.8,0,0,1.2,1.6,27.4,0.6,47.8,865,"ILAGAN, ISABELA",2,0.2,0,0,0,0,0,0,0,0,0,0.2,865,"ILAGAN, ISABELA",2,0,0,0,0,0,0,0,0,4.4,0.2,4.6,52.6
934,"KAPATAGAN, LANAO DEL SUR",ARMM,0,0,0,0,0,4.4,0,0,0,0,4.4,934,"KAPATAGAN, LANAO DEL SUR",ARMM,0,0,0,0.2,0,0,0,0,0,0,0.2,934,"KAPATAGAN, LANAO DEL SUR",ARMM,0,0,0,0,0.2,0,0,0,0,0,0.2,4.8
370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,0,0,0,0,0,0,0,0,0,0,0,370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,0,0,0,0,0,0,0,0,0,0,0,370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,0,0,0,0,0,0,0,0,0,0,0,0
358,"DUMINGAG, ZAMBOANGA DEL SUR",9,,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR",9,,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR",9,,,7,22.2,6.6,0.2,0.8,1.6,0,0,38.4,38.4
338,"STA. BARBARA - PANGASINAN, PANGASINAN",1,0,0,0,0,0,0,0,0,0,0,0,338,"STA. BARBARA - PANGASINAN, PANGASINAN",1,128.8,0,0,0.2,0,0,0,0,0,0,129,338,"STA. BARBARA - PANGASINAN, PANGASINAN",1,0,0,0.2,0.2,0,0,23.4,0,18.8,6.4,49,178
353,"MALITBOG, SOUTHERN LEYTE",8,0,0,0.4,0,1.6,3.8,6,0.2,14,0,26,353,"MALITBOG, SOUTHERN LEYTE",8,2.8,2.8,3.4,17.8,66,0,0,0,5,0,97.8,353,"MALITBOG, SOUTHERN LEYTE",8,3.4,0,0.2,0,0,0,0,0,0,0,3.6,127.4
