,,,April 2016,,,,,,,,,,,,,,April 2016,,,,,,,,,,,,,,April 2016,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
359,"IPIL, ZAMBOANGA SIBUGAY",9,0.0,0.0,0.0,87.8,3.8,5.8,0.0,0.0,2.6,2.2,102.2,359,"IPIL, ZAMBOANGA SIBUGAY","9",19.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,31.6,359,"IPIL, ZAMBOANGA SIBUGAY","9",0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.8,0.0,0.0,62.8,196.6
896,"BARILI, CEBU",7,0.0,0.0,0.0,0.0,4.8,0.2,0.0,0.0,0.0,0.0,5,896,"BARILI, CEBU","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.8,896,"BARILI, CEBU","7",,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,6.2
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,,,,,,,,,,,,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,,,,,,,,,,,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",,,,,,,,,,,,
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,0.0,0.0,2.6,0.0,0.0,0.0,0.6,1.2,0.2,0.0,4.6,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",0.0,0.0,0.0,0.0,5.6,0.0,0.2,0.0,5.4,0.2,11.4,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,16
1141,"STA. BARBARA - ILOILO, ILOILO",6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,0.0,,,,,,,,,0,0.6
903,"BOTOLAN, ZAMBALES",3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,903,"BOTOLAN, ZAMBALES","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,903,"BOTOLAN, ZAMBALES","3",0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.9
927,"BAGO CITY, NEGROS OCCIDENTAL",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,927,"BAGO CITY, NEGROS OCCIDENTAL","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,927,"BAGO CITY, NEGROS OCCIDENTAL","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0
316,"STO TOMAS, DAVAO DEL NORTE",11,,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,
879,"TACURONG CITY, SULTAN KUDARAT",12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,879,"TACURONG CITY, SULTAN KUDARAT","12",0.0,0.0,2.4,0.0,0.0,6.2,0.0,0.0,6.2,0.4,15.2,879,"TACURONG CITY, SULTAN KUDARAT","12",0.2,3.8,9.4,,,,,,,,13.4,29.2
866,"GUINSILIBAN, CAMIGUIN",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,866,"GUINSILIBAN, CAMIGUIN","10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,866,"GUINSILIBAN, CAMIGUIN","10",0.0,0.0,,,,,3.0,0.0,0.0,0.0,3,3
372,"ROXAS, ISABELA",2,2.0,0.2,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,8.6,372,"ROXAS, ISABELA","2",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2,372,"ROXAS, ISABELA","2",0.0,0.0,6.4,15.6,0.0,0.0,0.0,0.0,18.2,35.8,76,86.6
890,"ESPERANZA, AGUSAN DEL SUR",13,,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,890,"ESPERANZA, AGUSAN DEL SUR","13",,,,,,,,,,,,
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,34.8,36,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",0.2,0.2,0.0,1.0,0.2,0.0,0.0,0.0,0.0,23.0,24.6,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",4.8,40.8,1.4,0.0,0.2,2.0,0.0,0.0,23.2,0.2,72.6,133.2
